date,inflation morocco,oil price,price increase,consumer credit,morocco unemployment,food prices,purchasing power,pulled_at
2017-01-01,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-02-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-03-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-04-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-05-01,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-06-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-07-01,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-09-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-10-01,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-11-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2017-12-01,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-01-01,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-02-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-03-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-04-01,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-05-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-06-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-07-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-08-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-09-01,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-10-01,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-11-01,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2018-12-01,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-01-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-02-01,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-03-01,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-04-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-05-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-06-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-07-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-08-01,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-09-01,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-10-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-11-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2019-12-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-01-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-02-01,0.0,20.0,0.0,0.0,9.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-03-01,0.0,62.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-04-01,7.0,100.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-05-01,0.0,38.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-06-01,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-07-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-08-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-09-01,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-10-01,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2020-11-01,0.0,21.0,0.0,0.0,0.0,0.0,6.833333333333333,2026-05-19T12:29:39.620146+00:00
2020-12-01,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-01-01,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-02-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-03-01,0.0,16.0,6.0,0.0,0.0,8.333333333333332,0.0,2026-05-19T12:29:39.620146+00:00
2021-04-01,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-05-01,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-06-01,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-07-01,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-08-01,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-09-01,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-10-01,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-11-01,0.0,34.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2021-12-01,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-01-01,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-02-01,0.0,39.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-03-01,5.0,82.0,7.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-04-01,4.0,62.0,5.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-05-01,4.0,33.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-06-01,5.0,46.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-07-01,5.0,80.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-08-01,0.0,76.0,6.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-09-01,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-10-01,6.0,52.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-11-01,6.0,37.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2022-12-01,4.0,37.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-01-01,5.0,26.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-02-01,7.0,33.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-03-01,6.0,29.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-04-01,7.0,31.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-05-01,6.0,23.0,5.0,0.0,0.0,3.698630136986301,0.0,2026-05-19T12:29:39.620146+00:00
2023-06-01,0.0,22.0,0.0,0.0,5.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-07-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-08-01,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-09-01,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-10-01,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2023-11-01,0.0,32.0,0.0,0.0,0.0,0.0,6.821917808219178,2026-05-19T12:29:39.620146+00:00
2023-12-01,5.0,32.0,4.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-01-01,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-02-01,6.0,15.0,0.0,0.0,0.0,0.0,4.75,2026-05-19T12:29:39.620146+00:00
2024-03-01,0.0,21.0,6.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-04-01,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-05-01,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-06-01,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-07-01,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-08-01,5.0,19.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-09-01,6.0,30.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-10-01,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-11-01,5.0,27.0,5.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
2024-12-01,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2026-05-19T12:29:39.620146+00:00
